cruise,lon,lat
EN696,-80.7015,29.6946
EN696,-80.6959,29.652
EN696,-80.6907,29.6092
EN696,-80.6855,29.5661
EN696,-80.6808,29.5228
EN696,-80.6763,29.4797
EN696,-80.6713,29.4369
EN696,-80.666,29.395
EN696,-80.6616,29.358
EN696,-80.659,29.3321
EN696,-80.6566,29.3063
EN696,-80.6544,29.2811
EN696,-80.6518,29.2564
EN696,-80.646,29.2329
EN696,-80.6344,29.2109
EN696,-80.623,29.1892
EN696,-80.61,29.1681
EN696,-80.5973,29.1471
EN696,-80.5846,29.1259
EN696,-80.5722,29.105
EN696,-80.5597,29.0843
EN696,-80.5447,29.06
EN696,-80.5285,29.0362
EN696,-80.5118,29.0125
EN696,-80.4959,28.9881
EN696,-80.4804,28.9636
EN696,-80.4644,28.9396
EN696,-80.4485,28.9157
EN696,-80.4328,28.8913
EN696,-80.4174,28.8664
EN696,-80.4028,28.8409
EN696,-80.3886,28.815
EN696,-80.3744,28.7893
EN696,-80.3603,28.7637
EN696,-80.3461,28.7379
EN696,-80.3316,28.7124
EN696,-80.3171,28.6873
EN696,-80.3028,28.6624
EN696,-80.2896,28.6373
EN696,-80.2849,28.609
EN696,-80.2825,28.5806
EN696,-80.2801,28.5522
EN696,-80.2775,28.5237
EN696,-80.275,28.4952
EN696,-80.2724,28.4669
EN696,-80.2695,28.4385
EN696,-80.2666,28.4102
EN696,-80.2651,28.3818
EN696,-80.2641,28.3536
EN696,-80.2633,28.3255
EN696,-80.2624,28.2973
EN696,-80.2613,28.2693
EN696,-80.2602,28.2412
EN696,-80.2594,28.213
EN696,-80.2573,28.1852
EN696,-80.2525,28.1582
EN696,-80.2412,28.1327
EN696,-80.2299,28.1074
EN696,-80.2182,28.082
EN696,-80.207,28.0571
EN696,-80.1959,28.0324
EN696,-80.1857,28.0078
EN696,-80.176,27.9831
EN696,-80.166,27.9585
EN696,-80.1559,27.934
EN696,-80.1459,27.9099
EN696,-80.1358,27.8858
EN696,-80.1249,27.8624
EN696,-80.1138,27.8394
EN696,-80.1024,27.8167
EN696,-80.0914,27.7943
EN696,-80.0803,27.7718
EN696,-80.0699,27.7488
EN696,-80.0604,27.727
EN696,-80.0509,27.7076
EN696,-80.0403,27.6825
EN696,-80.0291,27.6577
EN696,-80.017,27.6313
EN696,-80.0068,27.6064
EN696,-79.9971,27.5844
EN696,-79.9866,27.5605
EN696,-79.9769,27.5414
EN696,-79.968,27.5182
EN696,-79.958,27.4943
EN696,-79.9478,27.4709
EN696,-79.9427,27.4471
EN696,-79.9424,27.4226
EN696,-79.9423,27.3984
EN696,-79.9419,27.3749
EN696,-79.9414,27.351
EN696,-79.9408,27.3272
EN696,-79.9404,27.3036
EN696,-79.9405,27.2802
EN696,-79.9415,27.2571
EN696,-79.9423,27.2339
EN696,-79.9425,27.2107
EN696,-79.9426,27.1877
EN696,-79.9438,27.1649
EN696,-79.945,27.142
EN696,-79.944,27.1192
EN696,-79.943,27.0963
EN696,-79.9414,27.0732
EN696,-79.94,27.0499
EN696,-79.94,27.0265
EN696,-79.94,27.0265
EN696,-79.9401,27.003
EN696,-79.9403,26.9797
EN696,-79.9403,26.9563
EN696,-79.9402,26.9325
EN696,-79.9402,26.9084
EN696,-79.9401,26.8835
EN696,-79.9392,26.8577
EN696,-79.9384,26.8318
EN696,-79.9391,26.8057
EN696,-79.9417,26.7821
EN696,-79.9439,26.7582
EN696,-79.9448,26.734
EN696,-79.9452,26.7103
EN696,-79.9413,26.6873
EN696,-79.9381,26.6644
EN696,-79.9386,26.642
EN696,-79.942,26.626
EN696,-79.945,26.61
EN696,-79.9476,26.5939
EN696,-79.9504,26.5769
EN696,-79.9531,26.5598
EN696,-79.9542,26.543
EN696,-79.9566,26.5268
EN696,-79.9593,26.5108
EN696,-79.9619,26.4951
EN696,-79.9645,26.4795
EN696,-79.9674,26.4618
EN696,-79.9703,26.4444
EN696,-79.9732,26.4282
EN696,-79.9761,26.412
EN696,-79.979,26.3959
EN696,-79.9819,26.3794
EN696,-79.985,26.362
